county,year,fertilizer_lime_soil,chemicals,seeds_plants_vines_trees,livestock_poultry_purchased,breeding_livestock,other_livestock_poultry,feed,gasoline_fuels_oils,utilities,repairs_supplies_maintenance,hired_farm_labor,contract_labor,customwork_custom_hauling,cash_rent_land_buildings_grazing,rent_lease_machinery,interest_expense,interest_secured_real_estate,interest_not_secured_real_estate,property_taxes,all_other_production_expenses,depreciation_expenses
La Paz,2007,,,439.0,627.0,247.0,379.0,2347.0,1791.0,835,2541,3102.0,94.0,1214,435.0,201.0,1075.0,869.0,206.0,824,1425.0,59818.0
La Paz,2012,2785.0,2349.0,1499.0,611.0,369.0,243.0,4407.0,2975.0,1973,3731,7117.0,407.0,2422,2613.0,306.0,2277.0,1823.0,455.0,750,1899.0,80310.0
Maricopa,2007,4154.0,2956.0,8016.0,1492.0,832.0,661.0,7207.0,4400.0,4131,5951,,,1222,2358.0,396.0,1977.0,910.0,1068.0,1854,,752979.0
Maricopa,2012,5395.0,3206.0,6184.0,4357.0,958.0,3400.0,11138.0,5839.0,6469,5962,23266.0,2129.0,1648,,547.0,,2449.0,,2796,,792224.0
Mohave,2007,613.0,176.0,333.0,2369.0,1184.0,1186.0,31310.0,6677.0,2078,3776,7690.0,363.0,587,482.0,112.0,879.0,302.0,578.0,971,1401.0,69281.0
Mohave,2012,177.0,48.0,36.0,1731.0,536.0,1195.0,48179.0,7353.0,2527,5658,7307.0,215.0,730,1724.0,40.0,350.0,,,1070,2958.0,92309.0
Navajo,2007,486.0,206.0,1395.0,1198.0,780.0,418.0,15278.0,4319.0,1760,5687,8561.0,780.0,794,909.0,106.0,3161.0,2354.0,806.0,2585,3202.0,50428.0
Navajo,2012,410.0,252.0,1673.0,5071.0,2001.0,3070.0,7082.0,4169.0,3130,4311,12196.0,1359.0,165,2023.0,289.0,3359.0,2788.0,571.0,2919,4106.0,52515.0
Pima,2007,48.0,11.0,43.0,717.0,383.0,334.0,1464.0,1294.0,380,818,1490.0,90.0,68,230.0,12.0,745.0,492.0,253.0,396,487.0,50428.0
Pima,2012,76.0,36.0,226.0,4615.0,,,3243.0,786.0,473,951,2567.0,247.0,56,1450.0,27.0,1365.0,1208.0,157.0,657,592.0,52515.0
Pinal,2007,24758.0,15151.0,14339.0,168872.0,,,251823.0,25613.0,30544,33296,77871.0,9576.0,16068,18258.0,7191.0,17157.0,7087.0,10069.0,6049,36415.0,8292.0
Pinal,2012,39612.0,21490.0,19106.0,116347.0,4852.0,111496.0,283486.0,31979.0,40936,31915,62492.0,13345.0,20639,28966.0,10384.0,10399.0,3703.0,6696.0,6126,55001.0,17368.0
Santa Cruz,2007,206.0,383.0,11.0,,383.0,334.0,1464.0,1294.0,380,818,1490.0,90.0,68,230.0,12.0,745.0,492.0,253.0,396,487.0,8292.0
Santa Cruz,2012,252.0,,36.0,,,,3243.0,786.0,473,951,2567.0,247.0,56,1450.0,27.0,1365.0,1208.0,157.0,657,592.0,17368.0
Yavapai,2007,1395.0,,43.0,1198.0,780.0,418.0,15278.0,4319.0,1760,5687,8561.0,780.0,794,909.0,106.0,3161.0,2354.0,806.0,2585,3202.0,
Yavapai,2012,1673.0,,226.0,5071.0,2001.0,3070.0,7082.0,4169.0,3130,4311,12196.0,1359.0,165,2023.0,289.0,3359.0,2788.0,571.0,2919,4106.0,
Yuma,2007,81820.0,86634.0,117781.0,,18.0,,,,10250,21245,77446.0,31367.0,7641,41962.0,6429.0,9455.0,4240.0,5216.0,5174,36185.0,683572.0
Yuma,2012,88411.0,60850.0,53547.0,6966.0,75.0,6892.0,11260.0,52152.0,23119,41839,116297.0,48142.0,24652,59118.0,15759.0,11726.0,2647.0,9079.0,5572,51679.0,671092.0
