county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Cherokee,2007,54560.0,83425.0,7367.0,4339.0,4869.0,10420.0,410.0,,48911.0,2246.0,1161.0,2628.0,4886.0,209.0,225.0,1574.0,117.0,1991.0,741.0,6082.0,3136.0
Cherokee,2012,98664.0,175871.0,396.0,288.0,233.0,110.0,472.0,,355.0,3140.0,1571.0,2927.0,6097.0,204.0,950.0,123.0,54.0,3063.0,959.0,2218.0,4325.0
Chilton,2007,15146.0,23481.0,1219.0,426.0,486.0,1733.0,,,2648.0,1353.0,630.0,1703.0,1997.0,520.0,130.0,991.0,71.0,1300.0,477.0,617.0,2014.0
Chilton,2012,16646.0,30655.0,394.0,273.0,183.0,91.0,392.0,,385.0,1311.0,526.0,1327.0,2700.0,593.0,243.0,113.0,38.0,1135.0,495.0,777.0,2241.0
Choctaw,2007,10452.0,39593.0,333.0,129.0,202.0,662.0,37.0,,3180.0,395.0,165.0,750.0,227.0,43.0,19.0,439.0,43.0,320.0,211.0,846.0,537.0
Choctaw,2012,6606.0,26635.0,156.0,68.0,68.0,46.0,61.0,,183.0,377.0,151.0,315.0,123.0,60.0,42.0,27.0,23.0,259.0,173.0,137.0,562.0
Clarke,2007,3798.0,11832.0,546.0,134.0,128.0,261.0,74.0,,1018.0,390.0,134.0,561.0,105.0,33.0,31.0,178.0,51.0,276.0,356.0,158.0,372.0
Clarke,2012,4141.0,15743.0,211.0,109.0,97.0,43.0,108.0,,203.0,387.0,168.0,344.0,254.0,26.0,20.0,36.0,8.0,340.0,185.0,143.0,484.0
Clay,2007,28479.0,65924.0,718.0,168.0,173.0,7697.0,,,32696.0,1127.0,593.0,986.0,,95.0,37.0,990.0,25.0,1192.0,327.0,2546.0,2469.0
Clay,2012,49377.0,123135.0,260.0,161.0,111.0,122.0,608.0,,323.0,1366.0,852.0,1016.0,756.0,69.0,463.0,57.0,10.0,1304.0,365.0,735.0,3070.0
Cleburne,2007,54397.0,143151.0,671.0,221.0,285.0,16329.0,605.0,,40885.0,1387.0,916.0,1092.0,2388.0,121.0,69.0,169.0,11.0,903.0,373.0,4665.0,1761.0
Cleburne,2012,69643.0,204232.0,231.0,172.0,105.0,132.0,827.0,,284.0,1574.0,1582.0,1656.0,2763.0,137.0,638.0,43.0,5.0,1083.0,404.0,1241.0,2241.0
Coffee,2007,165987.0,170945.0,6486.0,4443.0,4079.0,44773.0,2446.0,,105327.0,4859.0,2808.0,4423.0,4585.0,801.0,822.0,1945.0,297.0,3773.0,963.0,13554.0,7205.0
Coffee,2012,207202.0,230480.0,474.0,364.0,292.0,226.0,1944.0,,451.0,6419.0,4495.0,6317.0,6800.0,1548.0,2440.0,140.0,207.0,5738.0,1235.0,4950.0,9709.0
Colbert,2007,41167.0,55934.0,11282.0,5329.0,5254.0,3507.0,429.0,,17276.0,2399.0,872.0,2056.0,1856.0,148.0,203.0,3142.0,176.0,1756.0,667.0,3216.0,3714.0
Colbert,2012,66896.0,97375.0,371.0,267.0,200.0,163.0,462.0,,425.0,3520.0,1189.0,3692.0,3064.0,736.0,845.0,124.0,1959.0,2844.0,1129.0,2128.0,6229.0
Conecuh,2007,9509.0,23714.0,1594.0,999.0,1012.0,1020.0,207.0,,4928.0,818.0,284.0,960.0,518.0,77.0,132.0,345.0,7.0,335.0,329.0,544.0,1153.0
Conecuh,2012,15385.0,44466.0,243.0,135.0,134.0,84.0,329.0,,229.0,1047.0,349.0,931.0,619.0,130.0,203.0,73.0,43.0,1042.0,378.0,744.0,1456.0
Coosa,2007,2561.0,12371.0,159.0,45.0,14.0,228.0,58.0,,482.0,281.0,55.0,412.0,69.0,13.0,3.0,115.0,,349.0,164.0,91.0,695.0
Coosa,2012,2595.0,17069.0,91.0,50.0,42.0,44.0,70.0,,130.0,257.0,136.0,286.0,326.0,47.0,14.0,27.0,1.0,215.0,191.0,78.0,311.0
Covington,2007,80429.0,73384.0,5911.0,3222.0,3491.0,10983.0,2606.0,,54865.0,3235.0,1799.0,3832.0,2505.0,607.0,1207.0,1846.0,495.0,3320.0,839.0,6020.0,5270.0
Covington,2012,103818.0,98780.0,544.0,424.0,337.0,219.0,5159.0,,533.0,3765.0,2418.0,4073.0,4156.0,774.0,1201.0,143.0,107.0,3041.0,1009.0,2955.0,7755.0
Crenshaw,2007,92436.0,144884.0,1739.0,548.0,621.0,16967.0,755.0,,78273.0,2865.0,1841.0,2944.0,959.0,259.0,318.0,1282.0,10.0,2091.0,648.0,8618.0,3655.0
Crenshaw,2012,115545.0,200948.0,286.0,214.0,168.0,160.0,1616.0,,348.0,2828.0,2348.0,2473.0,1334.0,356.0,1341.0,106.0,249.0,2884.0,672.0,1632.0,5660.0
Cullman,2007,338851.0,137465.0,4504.0,1835.0,1588.0,65481.0,5355.0,,218744.0,9553.0,8396.0,10038.0,8557.0,1337.0,938.0,1856.0,672.0,6813.0,1782.0,29770.0,13396.0
Cullman,2012,346948.0,172869.0,1463.0,1294.0,609.0,900.0,10360.0,,1831.0,7630.0,9107.0,8647.0,8275.0,1150.0,2972.0,462.0,615.0,7601.0,1724.0,5220.0,15851.0
Dale,2007,66362.0,125685.0,3369.0,3164.0,1961.0,11100.0,828.0,,54878.0,2362.0,1170.0,2464.0,1284.0,172.0,246.0,2056.0,94.0,2581.0,473.0,5954.0,3802.0
Dale,2012,91584.0,188058.0,281.0,229.0,160.0,128.0,1636.0,,265.0,2723.0,1801.0,2252.0,1866.0,216.0,888.0,101.0,102.0,3079.0,527.0,1601.0,6366.0
Dallas,2007,43402.0,78201.0,4564.0,2521.0,3124.0,4244.0,377.0,,18345.0,2659.0,2119.0,3369.0,5517.0,567.0,331.0,2361.0,860.0,2305.0,778.0,1488.0,5181.0
Dallas,2012,59562.0,117711.0,254.0,190.0,169.0,90.0,671.0,,283.0,3339.0,2519.0,3261.0,7323.0,800.0,890.0,145.0,1211.0,2559.0,801.0,1700.0,5179.0
DeKalb,2007,340185.0,140225.0,5760.0,2465.0,2266.0,104405.0,6309.0,,212044.0,10412.0,7747.0,11205.0,9315.0,939.0,910.0,2529.0,790.0,7652.0,2008.0,27335.0,15922.0
DeKalb,2012,394777.0,193994.0,1406.0,1186.0,519.0,820.0,9123.0,,1723.0,10396.0,9587.0,11095.0,11440.0,1187.0,4146.0,414.0,263.0,8182.0,2359.0,6653.0,16467.0
Elmore,2007,18997.0,30347.0,2527.0,1302.0,1794.0,1038.0,327.0,,4846.0,1754.0,611.0,1633.0,2231.0,81.0,304.0,855.0,138.0,1463.0,519.0,1307.0,2106.0
Elmore,2012,23720.0,42971.0,328.0,240.0,173.0,97.0,285.0,,416.0,1813.0,555.0,1594.0,2777.0,297.0,404.0,114.0,173.0,1164.0,677.0,1904.0,2600.0
Escambia,2007,27049.0,53883.0,5323.0,5234.0,4002.0,,398.0,,1940.0,2312.0,424.0,2453.0,2072.0,153.0,1166.0,2922.0,,1369.0,465.0,1238.0,3663.0
Escambia,2012,32032.0,70555.0,318.0,227.0,204.0,95.0,207.0,,254.0,2301.0,550.0,2176.0,1818.0,258.0,483.0,121.0,562.0,1962.0,622.0,1125.0,4380.0
Etowah,2007,58227.0,57995.0,1922.0,672.0,601.0,9898.0,449.0,,48123.0,2238.0,1435.0,2398.0,1018.0,331.0,121.0,310.0,129.0,2254.0,764.0,5138.0,3826.0
Etowah,2012,75329.0,88311.0,619.0,431.0,240.0,268.0,1549.0,,710.0,2028.0,1689.0,2428.0,1272.0,277.0,718.0,122.0,1040.0,2340.0,807.0,1204.0,5792.0
Fayette,2007,13564.0,33826.0,1535.0,730.0,729.0,2862.0,226.0,,15188.0,780.0,248.0,1000.0,598.0,103.0,134.0,1596.0,16.0,634.0,244.0,923.0,919.0
Fayette,2012,29179.0,70481.0,252.0,164.0,114.0,89.0,238.0,,218.0,1245.0,457.0,1118.0,1005.0,158.0,340.0,79.0,35.0,576.0,314.0,1293.0,2013.0
Franklin,2007,110633.0,115484.0,2416.0,702.0,981.0,30167.0,804.0,,60357.0,3130.0,3069.0,3206.0,1777.0,259.0,188.0,1728.0,309.0,2420.0,620.0,9575.0,4160.0
Franklin,2012,117268.0,142144.0,555.0,333.0,249.0,300.0,1920.0,,704.0,2731.0,3302.0,5237.0,2873.0,564.0,937.0,149.0,201.0,2649.0,712.0,1714.0,5120.0
Geneva,2007,111224.0,100383.0,7775.0,6250.0,5227.0,18919.0,1403.0,,70992.0,4333.0,2351.0,4396.0,3617.0,685.0,607.0,2360.0,323.0,3681.0,902.0,8935.0,5718.0
Geneva,2012,142611.0,140227.0,530.0,410.0,335.0,249.0,1558.0,,494.0,4740.0,3234.0,5781.0,4533.0,961.0,1625.0,157.0,277.0,4320.0,1203.0,4415.0,11598.0
Greene,2007,24314.0,76942.0,425.0,352.0,354.0,1177.0,299.0,,8234.0,1022.0,1115.0,2204.0,2218.0,112.0,164.0,415.0,75.0,2182.0,392.0,1035.0,1911.0
Greene,2012,19768.0,65026.0,168.0,106.0,84.0,78.0,199.0,,184.0,1169.0,1295.0,1578.0,1728.0,219.0,242.0,75.0,83.0,1101.0,351.0,1046.0,1747.0
Hale,2007,53126.0,110909.0,900.0,590.0,427.0,7135.0,988.0,,22219.0,2680.0,2448.0,4103.0,5722.0,1429.0,736.0,1136.0,142.0,2063.0,564.0,2606.0,4194.0
Hale,2012,51693.0,113362.0,210.0,145.0,119.0,103.0,1607.0,,263.0,2211.0,2010.0,3221.0,4996.0,542.0,537.0,110.0,158.0,2303.0,654.0,2653.0,3661.0
Henry,2007,42334.0,88565.0,6480.0,5610.0,5020.0,4274.0,236.0,,19703.0,2791.0,688.0,3095.0,2718.0,254.0,325.0,3238.0,168.0,1790.0,571.0,3434.0,3859.0
Henry,2012,62822.0,126148.0,276.0,210.0,196.0,92.0,923.0,,226.0,3898.0,1472.0,3486.0,3228.0,500.0,835.0,122.0,246.0,2328.0,618.0,1887.0,4881.0
Houston,2007,59771.0,71071.0,12979.0,8026.0,7593.0,,,,6388.0,4426.0,1071.0,5331.0,4131.0,803.0,806.0,5700.0,,2515.0,629.0,2868.0,5389.0
Houston,2012,81419.0,99778.0,502.0,378.0,344.0,140.0,490.0,,398.0,4905.0,1620.0,5052.0,4715.0,1579.0,1305.0,209.0,,4056.0,807.0,3707.0,7424.0
Jackson,2007,90399.0,59356.0,6731.0,3115.0,3692.0,10605.0,1923.0,,47453.0,4264.0,2080.0,4537.0,2333.0,599.0,657.0,1563.0,126.0,3309.0,947.0,6525.0,6411.0
Jackson,2012,96495.0,70127.0,914.0,600.0,411.0,361.0,2951.0,,953.0,4414.0,2212.0,4497.0,2951.0,1121.0,952.0,280.0,107.0,3391.0,1089.0,2604.0,7986.0
Jefferson,2007,19197.0,40845.0,490.0,198.0,89.0,3152.0,163.0,,3487.0,909.0,504.0,866.0,,266.0,33.0,111.0,44.0,681.0,420.0,470.0,1002.0
Jefferson,2012,11932.0,30284.0,235.0,172.0,128.0,81.0,200.0,,308.0,733.0,377.0,624.0,1198.0,106.0,59.0,53.0,29.0,519.0,426.0,334.0,667.0
Lamar L,2007,6905.0,16362.0,600.0,132.0,175.0,596.0,130.0,,3474.0,531.0,133.0,868.0,228.0,29.0,30.0,192.0,3.0,484.0,261.0,369.0,602.0
Lamar L,2012,8583.0,24315.0,234.0,106.0,118.0,76.0,138.0,,240.0,696.0,198.0,713.0,678.0,101.0,55.0,65.0,10.0,236.0,310.0,418.0,922.0
Lawrence,2007,131863.0,82363.0,12367.0,8222.0,8634.0,17885.0,1511.0,,75783.0,4450.0,2898.0,4757.0,3287.0,210.0,684.0,7454.0,1314.0,4104.0,1160.0,10876.0,7468.0
Lawrence,2012,173798.0,112055.0,795.0,548.0,389.0,422.0,1928.0,,973.0,7417.0,6095.0,7595.0,5534.0,773.0,1589.0,265.0,2614.0,4682.0,1509.0,5645.0,10062.0
Lee,2007,31159.0,87525.0,3152.0,1738.0,3201.0,168.0,,,1863.0,1745.0,1215.0,4941.0,,75.0,38.0,401.0,,912.0,532.0,2654.0,3941.0
Lee,2012,25729.0,81679.0,212.0,131.0,103.0,77.0,211.0,,237.0,1791.0,1496.0,5077.0,1743.0,409.0,99.0,65.0,,899.0,446.0,2564.0,4226.0
Limestone,2007,74038.0,54762.0,15308.0,9859.0,10282.0,5703.0,954.0,,24193.0,4695.0,1390.0,4422.0,6712.0,314.0,594.0,7033.0,852.0,2610.0,1073.0,5000.0,6731.0
Limestone,2012,103734.0,84337.0,721.0,521.0,343.0,261.0,1767.0,,757.0,5781.0,2434.0,5482.0,6033.0,488.0,1965.0,219.0,1069.0,3100.0,1037.0,3967.0,8564.0
Lowndes,2007,51164.0,126330.0,1936.0,1538.0,1187.0,13738.0,521.0,,29304.0,2021.0,849.0,1941.0,1865.0,187.0,579.0,1844.0,76.0,2088.0,655.0,4006.0,3258.0
Lowndes,2012,67024.0,151981.0,200.0,125.0,113.0,104.0,769.0,,256.0,3226.0,1290.0,2123.0,3821.0,461.0,1515.0,112.0,47.0,1800.0,761.0,2433.0,3729.0
Macon,2007,15620.0,40571.0,2105.0,1091.0,1235.0,258.0,126.0,,1389.0,1146.0,545.0,1497.0,3355.0,304.0,127.0,1331.0,19.0,1041.0,445.0,1143.0,1915.0
Macon,2012,18907.0,53714.0,224.0,126.0,134.0,59.0,165.0,,216.0,1481.0,666.0,1791.0,4476.0,430.0,290.0,57.0,76.0,1008.0,527.0,751.0,1887.0
Madison,2007,44631.0,37600.0,13260.0,7918.0,7246.0,1266.0,795.0,,6585.0,3532.0,793.0,4723.0,3965.0,444.0,464.0,4643.0,488.0,2754.0,1113.0,2855.0,5031.0
Madison,2012,67069.0,64927.0,691.0,500.0,403.0,215.0,633.0,,700.0,4606.0,992.0,4830.0,4753.0,654.0,1002.0,224.0,1056.0,2676.0,1048.0,4537.0,7602.0
Marengo,2007,16549.0,29818.0,1369.0,319.0,732.0,1551.0,,,5617.0,1314.0,399.0,1993.0,,120.0,434.0,1366.0,46.0,1409.0,518.0,529.0,2040.0
Marengo,2012,20348.0,40778.0,261.0,140.0,136.0,96.0,946.0,,327.0,1614.0,494.0,1892.0,1815.0,104.0,174.0,137.0,47.0,1929.0,549.0,776.0,1855.0
Marion,2007,58875.0,74810.0,1137.0,463.0,461.0,11637.0,897.0,,55893.0,2030.0,1022.0,2344.0,797.0,182.0,132.0,602.0,14.0,1954.0,467.0,5285.0,3026.0
Marion,2012,83621.0,116953.0,432.0,283.0,197.0,183.0,750.0,,482.0,2001.0,2198.0,2211.0,976.0,427.0,936.0,85.0,31.0,2525.0,568.0,1555.0,2720.0
Marshall,2007,203489.0,117556.0,2967.0,1366.0,1071.0,54666.0,1343.0,,113576.0,6719.0,5455.0,6196.0,5659.0,852.0,509.0,2688.0,650.0,5089.0,1332.0,16623.0,9363.0
Marshall,2012,215491.0,143183.0,1072.0,888.0,393.0,557.0,2561.0,,1225.0,5293.0,6121.0,6174.0,6581.0,791.0,2788.0,316.0,110.0,5883.0,1626.0,3791.0,10006.0
Mobile,2007,66035.0,75382.0,7081.0,7963.0,5255.0,760.0,295.0,,4519.0,3081.0,1781.0,5417.0,19757.0,2681.0,434.0,1420.0,669.0,2424.0,1146.0,4686.0,5604.0
Mobile,2012,61452.0,88041.0,606.0,429.0,336.0,165.0,347.0,,488.0,3037.0,1605.0,4457.0,15677.0,1259.0,1058.0,105.0,950.0,2512.0,1102.0,2796.0,5880.0
Monroe M,2007,22145.0,43852.0,4969.0,6494.0,4026.0,1660.0,188.0,,7262.0,1639.0,361.0,1796.0,,129.0,337.0,2475.0,,1099.0,459.0,1311.0,1768.0
Monroe M,2012,39069.0,81394.0,343.0,232.0,209.0,75.0,262.0,,250.0,2594.0,602.0,2759.0,1444.0,323.0,915.0,144.0,186.0,1462.0,604.0,1294.0,3915.0
Morgan,2007,87725.0,60210.0,4046.0,1526.0,2061.0,14941.0,817.0,,48122.0,3291.0,2121.0,5394.0,3041.0,379.0,577.0,1766.0,88.0,2932.0,1003.0,7619.0,5253.0
Morgan,2012,95475.0,77183.0,845.0,587.0,423.0,355.0,1094.0,,972.0,3443.0,2782.0,3929.0,4189.0,671.0,896.0,257.0,61.0,3010.0,1045.0,2988.0,5810.0
Perry,2007,18452.0,47312.0,1953.0,1202.0,1545.0,1182.0,659.0,,9874.0,1208.0,806.0,1306.0,1896.0,406.0,296.0,1094.0,57.0,1459.0,567.0,1106.0,1871.0
Perry,2012,29131.0,74887.0,197.0,132.0,129.0,68.0,447.0,,232.0,1898.0,920.0,1843.0,2550.0,458.0,268.0,78.0,121.0,1633.0,587.0,2003.0,2638.0
Pickens,2007,94516.0,187904.0,1511.0,706.0,552.0,24797.0,805.0,,54639.0,2207.0,1947.0,2264.0,2547.0,289.0,172.0,429.0,182.0,1836.0,553.0,6457.0,4058.0
Pickens,2012,97833.0,225943.0,269.0,178.0,149.0,156.0,1329.0,,328.0,2602.0,2475.0,2640.0,2671.0,390.0,812.0,74.0,23.0,1588.0,484.0,1512.0,3603.0
Pike,2007,96124.0,135577.0,2535.0,1003.0,1040.0,24366.0,792.0,,57637.0,3328.0,2247.0,3340.0,2820.0,749.0,390.0,1290.0,152.0,2844.0,652.0,7760.0,4361.0
Pike,2012,108050.0,180084.0,394.0,274.0,221.0,177.0,2145.0,,366.0,2832.0,2362.0,3155.0,3892.0,993.0,1004.0,109.0,514.0,2943.0,711.0,1774.0,5433.0
Randolph,2007,64481.0,105706.0,1842.0,443.0,248.0,12990.0,3064.0,,65718.0,1955.0,1412.0,1838.0,825.0,226.0,135.0,766.0,19.0,2837.0,634.0,5364.0,4082.0
Randolph,2012,96555.0,158028.0,369.0,256.0,149.0,191.0,3351.0,,440.0,2646.0,1969.0,2497.0,1627.0,257.0,801.0,89.0,20.0,2740.0,729.0,1262.0,4029.0
Russell,2007,12266.0,40481.0,1995.0,1662.0,1100.0,1144.0,72.0,,4869.0,1163.0,428.0,1399.0,3176.0,188.0,122.0,518.0,385.0,725.0,379.0,681.0,1241.0
Russell,2012,21927.0,78311.0,173.0,111.0,81.0,55.0,169.0,,191.0,1957.0,533.0,2057.0,3093.0,113.0,421.0,51.0,227.0,1066.0,467.0,705.0,1882.0
Shelby,2007,12978.0,27380.0,1222.0,765.0,585.0,,,,1916.0,1099.0,398.0,1459.0,2539.0,168.0,52.0,476.0,,974.0,436.0,1066.0,1468.0
Shelby,2012,13137.0,32760.0,239.0,164.0,121.0,109.0,235.0,,311.0,935.0,559.0,1060.0,2586.0,198.0,152.0,74.0,125.0,881.0,466.0,890.0,1956.0
St Clair,2007,49896.0,80348.0,1228.0,889.0,1154.0,6249.0,309.0,,30819.0,1956.0,1160.0,2672.0,1573.0,590.0,63.0,399.0,59.0,1340.0,581.0,4276.0,3061.0
St Clair,2012,53191.0,98501.0,349.0,259.0,186.0,148.0,311.0,,433.0,1676.0,1107.0,1460.0,2656.0,1451.0,647.0,72.0,16.0,1321.0,673.0,1446.0,3649.0
Sumter,2007,17829.0,41367.0,1071.0,385.0,410.0,4393.0,564.0,,13151.0,1011.0,501.0,1311.0,1149.0,65.0,177.0,2209.0,32.0,1026.0,401.0,868.0,1669.0
Sumter,2012,32276.0,75411.0,181.0,110.0,109.0,68.0,998.0,,249.0,1545.0,725.0,2133.0,2425.0,291.0,264.0,93.0,23.0,1097.0,799.0,1355.0,2310.0
Talladega T,2007,29232.0,46771.0,3520.0,1324.0,1649.0,4045.0,620.0,,10933.0,1678.0,633.0,2131.0,1971.0,268.0,181.0,933.0,228.0,1160.0,629.0,1519.0,2782.0
Talladega T,2012,33682.0,64898.0,322.0,213.0,180.0,143.0,467.0,,423.0,1619.0,853.0,1717.0,2601.0,294.0,477.0,94.0,563.0,1187.0,489.0,1480.0,2795.0
Walker W,2007,44835.0,71279.0,666.0,219.0,214.0,3657.0,386.0,,17860.0,1925.0,1167.0,1680.0,1493.0,153.0,100.0,195.0,70.0,919.0,395.0,3943.0,2186.0
Walker W,2012,28914.0,59987.0,334.0,224.0,148.0,197.0,484.0,,455.0,1011.0,728.0,873.0,680.0,228.0,340.0,63.0,32.0,621.0,338.0,1254.0,2130.0
Wilcox,2007,9427.0,25617.0,744.0,239.0,316.0,479.0,150.0,,1634.0,1018.0,183.0,1182.0,586.0,108.0,161.0,297.0,28.0,842.0,501.0,418.0,1734.0
Wilcox,2012,8821.0,27915.0,190.0,106.0,122.0,71.0,222.0,,196.0,925.0,314.0,863.0,966.0,48.0,121.0,61.0,30.0,892.0,425.0,527.0,1196.0
Winston,2007,55048.0,87936.0,834.0,175.0,130.0,6273.0,984.0,,29283.0,2375.0,1610.0,2781.0,1110.0,188.0,63.0,214.0,15.0,1145.0,304.0,4805.0,2351.0
Winston,2012,45234.0,86989.0,408.0,285.0,135.0,232.0,1074.0,,495.0,1535.0,1071.0,1315.0,1015.0,181.0,416.0,83.0,24.0,1077.0,303.0,1388.0,1640.0
allapoosa T,2007,7945.0,21074.0,659.0,365.0,492.0,880.0,182.0,,4199.0,598.0,224.0,835.0,330.0,129.0,116.0,263.0,12.0,566.0,291.0,589.0,1504.0
allapoosa T,2012,10626.0,30801.0,198.0,104.0,85.0,69.0,180.0,,260.0,690.0,328.0,592.0,376.0,129.0,239.0,34.0,8.0,765.0,307.0,334.0,1171.0
ashington,2007,27642.0,58440.0,1319.0,934.0,593.0,3098.0,1115.0,,12088.0,1064.0,854.0,1652.0,1284.0,153.0,56.0,450.0,38.0,1007.0,317.0,2091.0,2025.0
ashington,2012,26914.0,72544.0,331.0,206.0,204.0,147.0,961.0,,314.0,1188.0,1651.0,2234.0,417.0,275.0,273.0,75.0,36.0,977.0,361.0,1019.0,1994.0
auderdale,2007,44227.0,26062.0,11323.0,4494.0,4825.0,4954.0,1872.0,,19476.0,2856.0,840.0,3429.0,2114.0,288.0,339.0,3295.0,139.0,2783.0,1339.0,2737.0,5246.0
auderdale,2012,69820.0,47626.0,986.0,554.0,436.0,366.0,3109.0,,1040.0,3800.0,1429.0,4282.0,2996.0,614.0,753.0,275.0,493.0,3410.0,1372.0,2304.0,7346.0
ontgomery,2007,38581.0,62228.0,1889.0,888.0,1834.0,20663.0,688.0,,25039.0,2243.0,996.0,2486.0,5383.0,282.0,312.0,1744.0,129.0,1969.0,894.0,3307.0,3646.0
ontgomery,2012,71292.0,118228.0,277.0,193.0,151.0,135.0,740.0,,423.0,2526.0,1207.0,2354.0,5215.0,660.0,958.0,143.0,136.0,2425.0,757.0,2997.0,3151.0
uscaloosa,2007,24880.0,40587.0,1791.0,527.0,1141.0,2363.0,405.0,,11287.0,1828.0,731.0,1865.0,1594.0,210.0,127.0,615.0,94.0,1324.0,490.0,1764.0,2452.0
uscaloosa,2012,25284.0,50874.0,360.0,225.0,190.0,136.0,703.0,,365.0,1326.0,743.0,1211.0,1666.0,109.0,208.0,89.0,77.0,926.0,423.0,871.0,1700.0
