county,year,fertilizer_lime_soil,chemicals,seeds_plants_vines_trees,livestock_poultry_purchased,breeding_livestock,other_livestock_poultry,feed,gasoline_fuels_oils,utilities,repairs_supplies_maintenance,hired_farm_labor,contract_labor,customwork_custom_hauling,cash_rent_land_buildings_grazing,rent_lease_machinery,interest_expense,interest_secured_real_estate,interest_not_secured_real_estate,property_taxes,all_other_production_expenses,depreciation_expenses
Etowah,2007,1522,610,538.0,7283.0,449.0,6834.0,32065.0,2238,1435,2398,1018.0,331.0,121,383,129.0,2254,1960,294,764,5138,3826.0
Etowah,2012,1922,672,601.0,9898.0,1549.0,8348.0,48123.0,2028,1689,2428,1272.0,277.0,718,310,1040.0,2340,1902,438,807,1204,5792.0
Fayette,2007,1215,206,375.0,1230.0,226.0,1005.0,5532.0,780,248,1000,598.0,103.0,134,327,16.0,634,516,118,244,923,919.0
Fayette,2012,1535,730,729.0,2862.0,238.0,2624.0,15188.0,1245,457,1118,1005.0,158.0,340,1596,35.0,576,431,145,314,1293,2013.0
Franklin,2007,1448,208,192.0,25323.0,804.0,24519.0,58410.0,3130,3069,3206,1777.0,259.0,188,499,309.0,2420,2098,322,620,9575,4160.0
Franklin,2012,2416,702,981.0,30167.0,1920.0,28247.0,60357.0,2731,3302,5237,2873.0,564.0,937,1728,201.0,2649,2346,302,712,1714,5120.0
Geneva,2007,4427,3128,2671.0,19609.0,1403.0,18206.0,49953.0,4333,2351,4396,3617.0,685.0,607,1604,323.0,3681,2799,882,902,8935,5718.0
Geneva,2012,7775,6250,5227.0,18919.0,1558.0,17361.0,70992.0,4740,3234,5781,4533.0,961.0,1625,2360,277.0,4320,3269,1051,1203,4415,11598.0
Greene,2007,628,165,292.0,3648.0,299.0,3349.0,8405.0,1022,1115,2204,2218.0,112.0,164,657,75.0,2182,1895,287,392,1035,1911.0
Greene,2012,425,352,354.0,1177.0,199.0,978.0,8234.0,1169,1295,1578,1728.0,219.0,242,415,83.0,1101,816,285,351,1046,1747.0
Hale,2007,1433,708,480.0,6562.0,988.0,5573.0,20407.0,2680,2448,4103,5722.0,1429.0,736,1043,142.0,2063,1410,653,564,2606,4194.0
Hale,2012,900,590,427.0,7135.0,1607.0,5528.0,22219.0,2211,2010,3221,4996.0,542.0,537,1136,158.0,2303,1750,553,654,2653,3661.0
Henry,2007,3324,2379,2304.0,2673.0,236.0,2437.0,12198.0,2791,688,3095,2718.0,254.0,325,3623,168.0,1790,1217,573,571,3434,3859.0
Henry,2012,6480,5610,5020.0,4274.0,923.0,3350.0,19703.0,3898,1472,3486,3228.0,500.0,835,3238,246.0,2328,1590,738,618,1887,4881.0
Houston,2007,7492,5770,4677.0,,,,6363.0,4426,1071,5331,4131.0,803.0,806,3558,,2515,1631,885,629,2868,5389.0
Houston,2012,12979,8026,7593.0,,490.0,,6388.0,4905,1620,5052,4715.0,1579.0,1305,5700,,4056,2582,1474,807,3707,7424.0
Jackson,2007,5783,1961,2192.0,15231.0,1923.0,13308.0,37662.0,4264,2080,4537,2333.0,599.0,657,2191,126.0,3309,2642,667,947,6525,6411.0
Jackson,2012,6731,3115,3692.0,10605.0,2951.0,7654.0,47453.0,4414,2212,4497,2951.0,1121.0,952,1563,107.0,3391,2868,523,1089,2604,7986.0
Jefferson,2007,491,82,332.0,,163.0,,,909,504,866,,266.0,33,117,44.0,681,514,166,420,470,1002.0
Jefferson,2012,490,198,89.0,3152.0,200.0,2952.0,3487.0,733,377,624,1198.0,106.0,59,111,29.0,519,417,102,426,334,667.0
Lamar,2007,565,109,184.0,465.0,130.0,336.0,2541.0,531,133,868,228.0,29.0,30,105,3.0,484,369,115,261,369,602.0
Lamar,2012,600,132,175.0,596.0,138.0,458.0,3474.0,696,198,713,678.0,101.0,55,192,10.0,236,196,40,310,418,922.0
Lauderdale,2007,6130,2161,2146.0,4333.0,1872.0,2462.0,10562.0,2856,840,3429,2114.0,288.0,339,2032,139.0,2783,2154,629,1339,2737,5246.0
Lauderdale,2012,11323,4494,4825.0,4954.0,3109.0,1845.0,19476.0,3800,1429,4282,2996.0,614.0,753,3295,493.0,3410,2710,700,1372,2304,7346.0
Lawrence,2007,6199,3572,3949.0,25346.0,1511.0,23835.0,56053.0,4450,2898,4757,3287.0,210.0,684,3003,1314.0,4104,3145,959,1160,10876,7468.0
Lawrence,2012,12367,8222,8634.0,17885.0,1928.0,15956.0,75783.0,7417,6095,7595,5534.0,773.0,1589,7454,2614.0,4682,3180,1501,1509,5645,10062.0
Lee,2007,2778,1307,,516.0,211.0,304.0,1468.0,1745,1215,4941,,75.0,38,167,,912,775,137,532,2654,3941.0
Lee,2012,3152,1738,3201.0,,,168.0,1863.0,1791,1496,5077,1743.0,409.0,99,401,,899,824,75,446,2564,4226.0
Limestone,2007,10246,4713,6055.0,6333.0,954.0,5379.0,15560.0,4695,1390,4422,6712.0,314.0,594,3469,852.0,2610,1690,919,1073,5000,6731.0
Limestone,2012,15308,9859,10282.0,5703.0,1767.0,3936.0,24193.0,5781,2434,5482,6033.0,488.0,1965,7033,1069.0,3100,2354,746,1037,3967,8564.0
Lowndes,2007,1607,660,632.0,12745.0,521.0,12224.0,19942.0,2021,849,1941,1865.0,187.0,579,1312,76.0,2088,1361,727,655,4006,3258.0
Lowndes,2012,1936,1538,1187.0,13738.0,769.0,12969.0,29304.0,3226,1290,2123,3821.0,461.0,1515,1844,47.0,1800,1329,471,761,2433,3729.0
Macon,2007,1834,962,,324.0,126.0,198.0,,1146,545,1497,3355.0,304.0,127,453,19.0,1041,837,203,445,1143,1915.0
Macon,2012,2105,1091,1235.0,258.0,165.0,93.0,1389.0,1481,666,1791,4476.0,430.0,290,1331,76.0,1008,838,171,527,751,1887.0
Madison,2007,7557,4286,3805.0,1354.0,795.0,559.0,3909.0,3532,793,4723,3965.0,444.0,464,2589,488.0,2754,1983,772,1113,2855,5031.0
Madison,2012,13260,7918,7246.0,1266.0,633.0,632.0,6585.0,4606,992,4830,4753.0,654.0,1002,4643,1056.0,2676,1897,779,1048,4537,7602.0
Marengo,2007,1221,621,310.0,,,569.0,4084.0,1314,399,1993,,120.0,434,753,46.0,1409,975,434,518,529,2040.0
Marengo,2012,1369,319,732.0,1551.0,946.0,605.0,5617.0,1614,494,1892,1815.0,104.0,174,1366,47.0,1929,1583,346,549,776,1855.0
Marion,2007,1274,317,395.0,8402.0,897.0,7505.0,33984.0,2030,1022,2344,797.0,182.0,132,276,14.0,1954,1626,328,467,5285,3026.0
Marion,2012,1137,463,461.0,11637.0,750.0,10887.0,55893.0,2001,2198,2211,976.0,427.0,936,602,31.0,2525,2298,227,568,1555,2720.0
Marshall,2007,3068,1114,1045.0,53075.0,1343.0,51733.0,94708.0,6719,5455,6196,5659.0,852.0,509,1394,650.0,5089,4391,698,1332,16623,9363.0
Marshall,2012,2967,1366,1071.0,54666.0,2561.0,52104.0,113576.0,5293,6121,6174,6581.0,791.0,2788,2688,110.0,5883,5217,665,1626,3791,10006.0
Mobile,2007,7008,3034,8254.0,921.0,295.0,626.0,2890.0,3081,1781,5417,19757.0,2681.0,434,1852,669.0,2424,1636,788,1146,4686,5604.0
Mobile,2012,7081,7963,5255.0,760.0,347.0,413.0,4519.0,3037,1605,4457,15677.0,1259.0,1058,1420,950.0,2512,1966,546,1102,2796,5880.0
Monroe,2007,3122,2331,1825.0,966.0,188.0,778.0,4371.0,1639,361,1796,,129.0,337,1291,,1099,573,526,459,1311,1768.0
Monroe,2012,4969,6494,4026.0,1660.0,262.0,1397.0,7262.0,2594,602,2759,1444.0,323.0,915,2475,186.0,1462,1038,424,604,1294,3915.0
Montgomery,2007,1838,466,479.0,6730.0,688.0,6042.0,10255.0,2243,996,2486,5383.0,282.0,312,813,129.0,1969,1122,847,894,3307,3646.0
Montgomery,2012,1889,888,1834.0,20663.0,740.0,19923.0,25039.0,2526,1207,2354,5215.0,660.0,958,1744,136.0,2425,1629,796,757,2997,3151.0
Morgan,2007,3196,855,980.0,16597.0,817.0,15780.0,38803.0,3291,2121,5394,3041.0,379.0,577,849,88.0,2932,2439,493,1003,7619,5253.0
Morgan,2012,4046,1526,2061.0,14941.0,1094.0,13847.0,48122.0,3443,2782,3929,4189.0,671.0,896,1766,61.0,3010,2637,373,1045,2988,5810.0
Perry,2007,1076,407,388.0,1932.0,659.0,1272.0,4970.0,1208,806,1306,1896.0,406.0,296,572,57.0,1459,1159,301,567,1106,1871.0
Perry,2012,1953,1202,1545.0,1182.0,447.0,735.0,9874.0,1898,920,1843,2550.0,458.0,268,1094,121.0,1633,1273,360,587,2003,2638.0
Pickens,2007,843,350,278.0,29037.0,805.0,28231.0,44839.0,2207,1947,2264,2547.0,289.0,172,715,182.0,1836,1519,317,553,6457,4058.0
Pickens,2012,1511,706,552.0,24797.0,1329.0,23469.0,54639.0,2602,2475,2640,2671.0,390.0,812,429,23.0,1588,1388,200,484,1512,3603.0
Pike,2007,2440,999,843.0,23610.0,792.0,22818.0,42773.0,3328,2247,3340,2820.0,749.0,390,1176,152.0,2844,2366,478,652,7760,4361.0
Pike,2012,2535,1003,1040.0,24366.0,2145.0,22221.0,57637.0,2832,2362,3155,3892.0,993.0,1004,1290,514.0,2943,2506,437,711,1774,5433.0
Randolph,2007,1425,245,164.0,12197.0,3064.0,9133.0,34724.0,1955,1412,1838,825.0,226.0,135,481,19.0,2837,2337,500,634,5364,4082.0
Randolph,2012,1842,443,248.0,12990.0,3351.0,9639.0,65718.0,2646,1969,2497,1627.0,257.0,801,766,20.0,2740,2471,268,729,1262,4029.0
Russell,2007,1178,938,403.0,212.0,72.0,140.0,687.0,1163,428,1399,3176.0,188.0,122,199,385.0,725,547,179,379,681,1241.0
Russell,2012,1995,1662,1100.0,1144.0,169.0,974.0,4869.0,1957,533,2057,3093.0,113.0,421,518,227.0,1066,869,197,467,705,1882.0
Shelby,2007,1015,395,674.0,390.0,,235.0,1766.0,1099,398,1459,2539.0,168.0,52,423,125.0,974,754,220,436,1066,1468.0
Shelby,2012,1222,765,585.0,,,,1916.0,935,559,1060,2586.0,198.0,152,476,,881,528,353,466,890,1956.0
St_Clair,2007,1159,696,434.0,6248.0,309.0,5940.0,26709.0,1956,1160,2672,1573.0,590.0,63,380,59.0,1340,1113,227,581,4276,3061.0
St_Clair,2012,1228,889,1154.0,6249.0,311.0,5938.0,30819.0,1676,1107,1460,2656.0,1451.0,647,399,16.0,1321,925,396,673,1446,3649.0
Sumter,2007,799,151,139.0,4337.0,564.0,3772.0,5537.0,1011,501,1311,1149.0,65.0,177,326,32.0,1026,767,258,401,868,1669.0
Sumter,2012,1071,385,410.0,4393.0,998.0,3395.0,13151.0,1545,725,2133,2425.0,291.0,264,2209,23.0,1097,924,172,799,1355,2310.0
Talladega,2007,2838,984,1302.0,6435.0,620.0,5814.0,6778.0,1678,633,2131,1971.0,268.0,181,498,228.0,1160,988,172,629,1519,2782.0
Talladega,2012,3520,1324,1649.0,4045.0,467.0,3578.0,10933.0,1619,853,1717,2601.0,294.0,477,933,563.0,1187,868,320,489,1480,2795.0
Tallapoosa,2007,551,179,158.0,562.0,182.0,381.0,2695.0,598,224,835,330.0,129.0,116,110,12.0,566,468,98,291,589,1504.0
Tallapoosa,2012,659,365,492.0,880.0,180.0,700.0,4199.0,690,328,592,376.0,129.0,239,263,8.0,765,683,82,307,334,1171.0
Tuscaloosa,2007,1544,417,872.0,2130.0,405.0,1725.0,9120.0,1828,731,1865,1594.0,210.0,127,771,94.0,1324,1107,217,490,1764,2452.0
Tuscaloosa,2012,1791,527,1141.0,2363.0,703.0,1661.0,11287.0,1326,743,1211,1666.0,109.0,208,615,77.0,926,807,119,423,871,1700.0
Walker,2007,632,136,121.0,8443.0,386.0,8056.0,23500.0,1925,1167,1680,1493.0,153.0,100,159,70.0,919,722,196,395,3943,2186.0
Walker,2012,666,219,214.0,3657.0,484.0,3173.0,17860.0,1011,728,873,680.0,228.0,340,195,32.0,621,491,130,338,1254,2130.0
Washington,2007,1070,416,250.0,5551.0,1115.0,4436.0,11481.0,1064,854,1652,1284.0,153.0,56,356,38.0,1007,903,104,317,2091,2025.0
Washington,2012,1319,934,593.0,3098.0,961.0,2137.0,12088.0,1188,1651,2234,417.0,275.0,273,450,36.0,977,790,188,361,1019,1994.0
Wilcox,2007,1003,299,407.0,787.0,150.0,637.0,1526.0,1018,183,1182,586.0,108.0,161,378,28.0,842,668,174,501,418,1734.0
Wilcox,2012,744,239,316.0,479.0,222.0,257.0,1634.0,925,314,863,966.0,48.0,121,297,30.0,892,791,101,425,527,1196.0
Winston,2007,971,143,89.0,8480.0,984.0,7495.0,30659.0,2375,1610,2781,1110.0,188.0,63,309,15.0,1145,895,251,304,4805,2351.0
Winston,2012,834,175,130.0,6273.0,1074.0,5199.0,29283.0,1535,1071,1315,1015.0,181.0,416,214,24.0,1077,931,146,303,1388,1640.0
