county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Plymouth,2007,64809.0,73479.0,478.0,395.0,234.0,58.0,70.0,,155.0,4441.0,2273.0,7203.0,15032.0,4167.0,1459.0,83.0,541.0,3856.0,3543.0,7062.0,7180.0
Suffolk,2002,236.0,29469.0,5.0,,27.0,,,,,10.0,,26.0,116.0,,,,,,11.0,,
Suffolk,2007,271.0,38671.0,5.0,4.0,6.0,,,,1.0,52.0,12.0,8.0,34.0,,,1.0,,,22.0,,
Worcester,2002,58477.0,53600.0,1724.0,1422.0,2831.0,1231.0,330.0,,10626.0,1620.0,1616.0,4856.0,11294.0,1496.0,308.0,764.0,394.0,1714.0,3738.0,16676.0,6616.0
Worcester,2007,75585.0,48859.0,622.0,288.0,524.0,218.0,360.0,,491.0,3947.0,2370.0,7104.0,12685.0,2151.0,553.0,130.0,285.0,3913.0,5968.0,18013.0,5706.0
ampshire,2002,31006.0,57101.0,2170.0,1108.0,1806.0,206.0,66.0,,3729.0,1132.0,816.0,3864.0,7331.0,1095.0,341.0,1069.0,255.0,754.0,2348.0,3375.0,1460.0
ampshire,2007,35920.0,50520.0,298.0,189.0,245.0,69.0,137.0,,196.0,2432.0,1359.0,3742.0,9732.0,430.0,330.0,125.0,230.0,1494.0,2761.0,3320.0,3148.0
arnstable,2002,12948.0,45593.0,357.0,406.0,1040.0,151.0,6.0,,823.0,485.0,517.0,1344.0,4796.0,293.0,181.0,452.0,37.0,427.0,612.0,2536.0,976.0
arnstable,2007,15494.0,38162.0,134.0,99.0,89.0,34.0,15.0,,82.0,1259.0,901.0,1883.0,3924.0,496.0,82.0,66.0,136.0,729.0,761.0,2093.0,1389.0
assachusetts B,2002,364833.0,60035.0,14788.0,12490.0,24634.0,5819.0,2703.0,,45134.0,14927.0,11067.0,37850.0,99292.0,11378.0,3067.0,10138.0,2758.0,13451.0,23431.0,63969.0,37740.0
assachusetts B,2007,461483.0,60003.0,3393.0,2101.0,2427.0,1101.0,1776.0,,2698.0,31070.0,16599.0,46053.0,118224.0,12889.0,6698.0,990.0,2445.0,19171.0,32509.0,62823.0,37569.0
