county,year,fertilizer_lime_soil,chemicals,seeds_plants_vines_trees,livestock_poultry_purchased,breeding_livestock,other_livestock_poultry,feed,gasoline_fuels_oils,utilities,repairs_supplies_maintenance,hired_farm_labor,contract_labor,customwork_custom_hauling,cash_rent_land_buildings_grazing,rent_lease_machinery,interest_expense,interest_secured_real_estate,interest_not_secured_real_estate,property_taxes,all_other_production_expenses,depreciation_expenses
Mariposa,2012,74,99,50,7728,1183,6545,2730,920,524,847,1830,482,790,2447,157,817,641,177,1407,1076,2176
Mariposa,2007,29,53,20,1965,448,1517,2613,823,377,1077,668,185,74,2465,48,880,615,265,919,908,1241
Mendocino,2012,2490,4515,1776,1360,935,426,4706,5875,3889,7926,44378,14134,4206,7023,737,12707,11515,1191,8758,11819,15225
Mendocino,2007,3837,3814,1871,1228,1000,228,5579,6148,3762,9764,36105,12754,2295,3641,1132,12746,10993,1753,7908,14515,20929
Merced,2012,108116,110992,55188,102178,25889,76289,889640,103203,98598,130072,272448,98388,111668,63650,18131,75879,59872,16007,44393,170080,159244
Merced,2007,81549,65225,34964,74706,11578,63128,597600,70097,65729,118550,225931,52704,75602,62892,10507,65556,45606,19950,31581,121310,116891
Modoc,2012,8614,5816,3280,4449,3362,1087,9360,9199,7308,7619,15569,525,2290,8335,1000,5078,3758,1320,3285,6021,8528
Modoc,2007,5215,3093,1532,5237,1174,4063,2567,5384,3921,5052,6869,533,1635,6592,726,4548,3098,1450,2407,4499,5975
Mono,2012,408,146,135,250,53,197,860,1307,1162,1177,1370,149,296,,,,388,,556,1692,1069
Mono,2007,298,118,89,247,28,219,840,762,756,1159,1211,70,80,435,,,469,57,487,899,1489
Monterey,2012,171526,199895,140054,7894,1234,6659,15917,92755,72338,111811,488785,328747,39564,220481,27875,42108,25584,16524,26767,208216,104546
Monterey,2007,106271,124076,104103,8784,1212,7572,11143,64257,56200,111834,374149,259965,34884,115423,20248,42034,22099,19935,19759,176003,80059
Napa,2012,8543,19239,15180,,,187,1469,10297,8268,20550,129633,92553,17946,20792,,59139,55379,3761,37110,52239,63103
Napa,2007,9547,15655,8210,208,147,62,1179,6485,5738,19022,88771,64843,10927,4722,1997,42599,38919,3681,28417,35890,69679
Nevada,2012,273,145,224,525,294,232,2737,972,1014,1465,2585,961,98,691,81,2289,2099,190,2614,1382,1662
Nevada,2007,224,130,223,976,474,503,2513,1436,929,2345,2028,671,424,538,22,2891,2500,391,2169,1904,2970
Orange,2012,9555,8029,15152,696,19,677,1541,6313,7476,8044,65079,19767,1108,5924,4440,2081,1402,678,2846,28997,4810
Orange,2007,14367,9197,29505,1288,48,1240,1495,5297,7637,13666,97723,9124,1687,8165,3788,4238,991,3248,2820,37929,5599
Placer,2012,2514,2023,1387,2147,701,1445,7083,3280,3309,4352,10124,1261,935,3840,709,3421,2900,521,4259,4812,4248
Placer,2007,2108,1261,2500,2322,685,1637,6451,3530,2823,5352,9275,909,1050,3122,453,4934,4295,639,4485,4995,5211
Plumas,2012,181,86,222,,,169,3520,908,,,,,,4486,,,486,,,,976
Plumas,2007,197,83,86,2711,,,,454,425,829,863,,,1345,,,496,405,791,618,890
Riverside,2012,42851,46472,45655,12214,5220,6994,181604,39193,66517,61094,171746,85538,20109,31739,8810,25735,17237,8498,22557,77706,45535
Riverside,2007,36509,30614,35586,14648,5979,8669,142309,29347,49972,59002,159307,78711,16349,27882,4134,36301,26496,9804,23099,81359,43316
Sacramento,2012,12008,16613,7123,11324,1948,9376,51925,12837,11434,18571,58559,27855,11615,11192,2958,11667,9456,2210,9822,26637,21375
Sacramento,2007,11055,11874,8276,6341,1479,4863,45782,11937,8280,16791,56365,24497,8051,10655,1539,14738,11443,3295,8432,20592,27180
San Benito,2012,7182,6052,7533,5670,1494,4176,10505,6654,5173,8694,29249,12812,1599,10203,1381,4123,3267,856,5089,10017,8497
San Benito,2007,7684,11723,6995,5678,1523,4156,9956,7002,6454,9093,38951,13056,1387,9672,2040,5947,5007,940,4953,26506,14475
San Bernardino,2012,2191,4488,7846,22852,8681,14171,288286,12031,14532,22722,58461,7156,10485,7261,4253,9854,5398,4456,6442,48035,22114
San Bernardino,2007,3929,3408,12253,37370,10071,27299,265628,11856,16393,30107,78626,7245,9151,10261,1530,15357,6175,9183,6360,40410,33468
San Diego,2012,27006,17622,64358,3547,1007,2540,50660,22678,68874,36369,233301,28066,3897,13196,4855,20362,17164,3198,28232,48952,38280
San Diego,2007,26582,19081,96597,6102,1757,4344,45189,28845,67513,68793,281127,34547,4180,20463,4990,32603,26542,6061,28738,104435,45942
San Joaquin,2012,87339,130807,76539,26511,5069,21441,265248,78011,66949,101843,289740,169745,82074,68574,25015,67408,51336,16072,44249,153250,134448
San Joaquin,2007,58925,62061,36313,26537,5605,20932,218553,55915,45758,86600,222320,107888,52978,45274,10624,56595,38859,17736,31645,97684,102066
San Luis Obispo,2012,21653,46266,37394,7809,2386,5424,12288,31498,23011,39099,114631,90990,15339,35497,9759,32363,27505,4858,23656,56529,45093
San Luis Obispo,2007,20732,25985,48395,5920,1757,4163,11315,23182,15573,38080,103537,71817,12570,21238,4023,26660,22054,4606,20325,68412,47079
San Mateo,2012,1429,2312,12498,729,98,631,3174,4731,4068,6981,40453,1393,280,1840,591,2229,1569,660,2099,5015,4105
San Mateo,2007,2870,2372,15952,890,395,494,1897,5724,4143,8370,44680,3444,836,2841,414,2090,1626,464,2286,12869,4714
Santa Barbara,2012,57440,53809,69247,10884,1390,9494,17666,36792,35707,61307,311694,100718,13302,73411,10678,18879,13816,5064,21627,106743,49452
Santa Barbara,2007,41019,40701,53630,5852,1122,4730,14974,28078,30030,50489,232123,97997,14403,47217,5838,21337,15339,5998,16229,90637,54017
Santa Clara,2012,15281,6750,18926,3889,1181,2707,4429,8966,8654,11871,68224,22315,3761,8912,2236,4313,3034,1279,6233,15443,7788
Santa Clara,2007,10265,9384,21487,3722,506,3216,4052,8983,9383,14363,68403,13730,5627,5539,2248,5195,4116,1079,5447,20278,14491
Santa Cruz,2012,26946,40689,22024,1360,,,,3581,15832,17991,21664,169555,36164,1293,27160,7521,5424,3961,1463,13803,45020
Santa Cruz,2007,13919,21678,25570,2533,147,2387,2045,12623,11512,19666,146599,15380,2008,9642,2128,7864,4974,2890,4339,29001,12458
Shasta,2012,2703,1220,625,3167,1162,2005,10813,5593,3739,4970,11947,1004,1379,7105,144,3611,3133,478,5550,8038,6211
Shasta,2007,1806,1071,600,2941,1096,1845,8228,3660,2471,5859,8390,1538,715,2414,305,3623,2990,634,5208,5475,6835
Siskiyou,2012,15431,17564,6370,2077,1483,594,8768,13706,14032,14086,57877,15747,8487,17737,6050,4836,3688,1148,5004,12021,12682
Siskiyou,2007,10852,8715,3530,3157,1426,1731,6119,9386,8213,11105,33797,7547,4074,9474,2858,7021,4316,2705,3907,9090,11751
Solano,2012,19557,17632,13343,10166,2333,7833,28849,15404,12673,14509,52281,16994,13566,14555,2802,13117,9479,3638,8028,15963,18929
Solano,2007,13459,10355,7251,7724,1196,6529,14105,11771,8702,15662,40145,16513,6686,9203,1686,9014,6708,2305,5939,16745,13963
Sonoma,2012,12060,22351,10081,8778,4142,4636,171998,22637,15832,41537,199305,92558,12929,51597,4483,48177,43872,4304,38963,57427,89491
Sonoma,2007,12381,15746,12994,12306,2283,10023,109369,16918,12915,33692,153613,58611,13078,15077,3021,39555,34994,4562,30409,47881,81339
Stanislaus,2012,71073,103526,29780,53899,10349,43550,635294,71553,64064,111336,221868,90880,82022,43761,12723,70529,56197,14332,41855,160741,117358
Stanislaus,2007,56217,56623,19981,83697,18788,64909,433955,49511,48617,94309,190323,48279,49667,49077,7705,61446,44740,16706,29147,97433,102571
Sutter,2012,39021,44729,19241,1872,308,1564,3682,29085,21000,28626,64896,20388,23730,28917,8640,18238,13542,4696,14068,35468,37260
Sutter,2007,22857,24270,10466,697,96,601,1094,18761,13756,24544,48347,15107,12352,18503,4272,15512,12648,2864,12050,25679,18313
Tehama,2012,9673,11429,4356,17433,2585,14848,21685,12465,8514,13321,43695,21617,6276,8348,1520,12004,10363,1641,8750,12242,16330
Tehama,2007,8142,6988,1760,5731,1756,3975,13756,8488,5455,9662,22404,7124,3153,6133,454,9607,8032,1575,7007,9227,14876
Tulare,2012,92250,146988,41394,149681,30802,118879,1183990,117353,142241,167971,366333,316466,124161,57624,16195,101641,72808,28833,61914,333437,177935
Tulare,2007,69484,91474,27378,171850,50247,121604,810169,86433,114317,147667,330240,198953,86785,52669,12502,108343,66316,42027,46584,219989,161752
Ventura,2012,159170,109151,89130,264679,2246,262433,249952,72015,62501,69195,162027,98805,80155,108420,20274,20365,11098,9267,12482,72000,49223
Ventura,2007,80861,54693,30388,270978,1917,269062,182138,39719,39174,47058,107600,50330,56025,58062,10011,23344,8231,15113,6856,62715,26653
Yolo,2012,71073,103526,29780,53899,10349,43550,635294,71553,64064,111336,221868,90880,82022,43761,12723,70529,56197,14332,41855,160741,117358
Yolo,2007,56217,56623,19981,83697,18788,64909,433955,49511,48617,94309,190323,48279,49667,49077,7705,61446,44740,16706,29147,97433,102571
Yuba,2012,12060,22351,10081,8778,4142,4636,171998,22637,15832,41537,199305,92558,12929,51597,4483,48177,43872,4304,38963,57427,89491
Yuba,2007,12381,15746,12994,12306,2283,10023,109369,16918,12915,33692,153613,58611,13078,15077,3021,39555,34994,4562,30409,47881,81339
