"[For meaning of abbreviations and symbols, see introductory text.]",,,,,,,
Item,Lawrence,Lee,Limestone,Lowndes,Macon,Madison,Marengo
"Secured by real estate  ........................................ farms, 2012 2007",361 283,60 52,337 236,116 90,81 72,219 181,137 100
"$1,000, 2012 2007","3,180 3,145",824 775,"2,354 1,690","1,329 1,361",838 837,"1,897 1,983","1,583 975"
"Not secured by real estate  .................................. farms, 2012 2007",285 217,41 49,227 179,74 81,69 62,146 111,106 88
"$1,000, 2012 2007","1,501 959",75 137,746 919,471 727,171 203,779 772,346 434
"Property taxes paid  ................................................. farms, 2012 2007","1,502 1,422",302 319,"1,174 1,234",407 365,326 347,"968 1,046",461 481
"$1,000, 2012 2007","1,509 1,160",446 532,"1,037 1,073",761 655,527 445,"1,048 1,113",549 518
"All other production expenses (see text)  ................. farms, 2012 2007",763 647,170 167,571 568,197 186,162 149,503 508,225 203
"$1,000, 2012 2007","5,645 10,876","2,564 2,654","3,967 5,000","2,433 4,006","751 1,143","4,537 2,855",776 529
"Depreciation expenses claimed (see text) ................... farms, 2012 2007",695 547,142 133,541 609,174 161,118 136,465 482,203 213
"$1,000, 2012 2007","10,062 7,468","4,226 3,941","8,564 6,731","3,729 3,258","1,887 1,915","7,602 5,031","1,855 2,040"
,,,,,,,--continued
