state_alpha,county_name,county_ansi,state_fips_code,year,"AG SERVICES, CUSTOMWORK - EXPENSE, MEASURED IN $","AG SERVICES, MACHINERY RENTAL - EXPENSE, MEASURED IN $","AG SERVICES, OTHER - EXPENSE, MEASURED IN $","AG SERVICES, UTILITIES - EXPENSE, MEASURED IN $","ANIMAL TOTALS - EXPENSE, MEASURED IN $","ANIMAL TOTALS, BREEDING - EXPENSE, MEASURED IN $","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","DEPRECIATION - EXPENSE, MEASURED IN $","EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $","FEED - EXPENSE, MEASURED IN $","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $","INTEREST - EXPENSE, MEASURED IN $","INTEREST, NON-REAL ESTATE - EXPENSE, MEASURED IN $","INTEREST, REAL ESTATE - EXPENSE, MEASURED IN $","LABOR, CONTRACT - EXPENSE, MEASURED IN $","LABOR, HIRED - EXPENSE, MEASURED IN $","LABOR, HIRED, GE 150 DAYS - EXPENSE, MEASURED IN $","LABOR, HIRED, LT 150 DAYS - EXPENSE, MEASURED IN $","RENT, CASH, LAND & BUILDINGS - EXPENSE, MEASURED IN $","SEEDS & PLANTS TOTALS - EXPENSE, MEASURED IN $","SUPPLIES & REPAIRS, (EXCL LUBRICANTS) - EXPENSE, MEASURED IN $","TAXES, PROPERTY, REAL ESTATE & NON-REAL ESTATE, (EXCL PAID BY LANDLORD) - EXPENSE, MEASURED IN $","ANIMAL TOTALS, (EXCL BREEDING) - EXPENSE, MEASURED IN $"
AL,CONECUH,035,01,2007,132000,7000,544000,284000,834000,207000,288000,1153000,9509000,2218000,1533000,818000,335000,161000,174000,77000,518000,135000,67000,220000,411000,960000,329000,627000
AL,CONECUH,035,01,2012,203000,43000,744000,349000,1020000,329000,999000,1456000,15385000,4928000,1594000,1047000,1042000,275000,767000,130000,619000,376000,243000,345000,1012000,931000,378000,692000
AL,COOSA,037,01,2007,3000,NA,91000,55000,307000,58000,38000,695000,2561000,440000,219000,281000,349000,41000,308000,13000,69000,NA,NA,89000,NA,412000,164000,249000
AL,COOSA,037,01,2012,14000,1000,78000,136000,228000,70000,45000,311000,2595000,482000,159000,257000,215000,24000,191000,47000,326000,NA,120000,115000,14000,286000,191000,158000
AL,COVINGTON,039,01,2007,1207000,495000,6020000,1799000,13164000,2606000,2156000,5270000,80429000,33338000,4227000,3235000,3320000,968000,2351000,607000,2505000,1185000,253000,1803000,1881000,3832000,839000,10558000
AL,COVINGTON,039,01,2012,1201000,107000,2955000,2418000,10983000,5159000,3222000,7755000,103818000,54865000,5911000,3765000,3041000,527000,2514000,774000,4156000,1625000,589000,1846000,3491000,4073000,1009000,5825000
AL,CRENSHAW,041,01,2007,318000,10000,8618000,1841000,13395000,755000,252000,3655000,92436000,56198000,1127000,2865000,2091000,372000,1719000,259000,959000,181000,374000,562000,347000,2944000,648000,12640000
AL,CRENSHAW,041,01,2012,1341000,249000,1632000,2348000,16967000,1616000,548000,5660000,115545000,78273000,1739000,2828000,2884000,263000,2621000,356000,1334000,625000,328000,1282000,621000,2473000,672000,15351000
AL,CULLMAN,043,01,2007,938000,672000,29770000,8396000,72339000,5355000,1349000,13396000,338851000,179309000,4814000,9553000,6813000,999000,5814000,1337000,8557000,4926000,1130000,1893000,1292000,10038000,1782000,66984000
AL,CULLMAN,043,01,2012,2972000,615000,5220000,9107000,65481000,10360000,1835000,15851000,346948000,218744000,4504000,7630000,7601000,1348000,6253000,1150000,8275000,4213000,1331000,1856000,1588000,8647000,1724000,55121000
AL,DALE,045,01,2007,246000,94000,5954000,1170000,8036000,828000,1693000,3802000,66362000,34747000,2411000,2362000,2581000,346000,2236000,172000,1284000,443000,211000,1508000,1167000,2464000,473000,7208000
AL,DALE,045,01,2012,888000,102000,1601000,1801000,11100000,1636000,3164000,6366000,91584000,54878000,3369000,2723000,3079000,387000,2692000,216000,1866000,626000,426000,2056000,1961000,2252000,527000,9464000
AL,DALLAS,047,01,2007,331000,860000,1488000,2119000,4154000,377000,1850000,5181000,43402000,11956000,2432000,2659000,2305000,647000,1658000,567000,5517000,1843000,161000,1403000,1613000,3369000,778000,3777000
AL,DALLAS,047,01,2012,890000,1211000,1700000,2519000,4244000,671000,2521000,5179000,59562000,18345000,4564000,3339000,2559000,540000,2019000,800000,7323000,4523000,786000,2361000,3124000,3261000,801000,3574000
AL,DE KALB,049,01,2007,910000,790000,27335000,7747000,92183000,6309000,1739000,15922000,340185000,158873000,5683000,10412000,7652000,1056000,6596000,939000,9315000,3097000,1235000,1736000,1655000,11205000,2008000,85874000
AL,DE KALB,049,01,2012,4146000,263000,6653000,9587000,104405000,9123000,2465000,16467000,394777000,212044000,5760000,10396000,8182000,1257000,6925000,1187000,11440000,2001000,2655000,2529000,2266000,11095000,2359000,95282000
AL,ELMORE,051,01,2007,304000,138000,1307000,611000,773000,327000,1059000,2106000,18997000,2224000,2546000,1754000,1463000,694000,769000,81000,2231000,1090000,126000,781000,1575000,1633000,519000,446000
AL,ELMORE,051,01,2012,404000,173000,1904000,555000,1038000,285000,1302000,2600000,23720000,4846000,2527000,1813000,1164000,211000,952000,297000,2777000,2086000,278000,855000,1794000,1594000,677000,752000
AL,ESCAMBIA,053,01,2007,1166000,562000,1238000,424000,1096000,398000,3981000,3663000,27049000,998000,4017000,2312000,1369000,443000,927000,153000,2072000,733000,158000,2192000,2551000,2453000,465000,698000
AL,ESCAMBIA,053,01,2012,483000,NA,1125000,550000,NA,207000,5234000,4380000,32032000,1940000,5323000,2301000,1962000,456000,1506000,258000,1818000,392000,425000,2922000,4002000,2176000,622000,NA
AL,ETOWAH,055,01,2007,121000,129000,5138000,1435000,7283000,449000,610000,3826000,58227000,32065000,1522000,2238000,2254000,294000,1960000,331000,1018000,347000,311000,383000,538000,2398000,764000,6834000
AL,ETOWAH,055,01,2012,718000,1040000,1204000,1689000,9898000,1549000,672000,5792000,75329000,48123000,1922000,2028000,2340000,438000,1902000,277000,1272000,616000,516000,310000,601000,2428000,807000,8348000
AL,FAYETTE,057,01,2007,134000,16000,923000,248000,1230000,226000,206000,919000,13564000,5532000,1215000,780000,634000,118000,516000,103000,598000,396000,131000,327000,375000,1000000,244000,1005000
AL,FAYETTE,057,01,2012,340000,35000,1293000,457000,2862000,238000,730000,2013000,29179000,15188000,1535000,1245000,576000,145000,431000,158000,1005000,527000,NA,1596000,729000,1118000,314000,2624000
AL,FRANKLIN,059,01,2007,188000,309000,9575000,3069000,25323000,804000,208000,4160000,110633000,58410000,1448000,3130000,2420000,322000,2098000,259000,1777000,409000,NA,499000,192000,3206000,620000,24519000
AL,FRANKLIN,059,01,2012,937000,201000,1714000,3302000,30167000,1920000,702000,5120000,117268000,60357000,2416000,2731000,2649000,302000,2346000,564000,2873000,1048000,343000,1728000,981000,5237000,712000,28247000
AL,GENEVA,061,01,2007,607000,323000,8935000,2351000,19609000,1403000,3128000,5718000,111224000,49953000,4427000,4333000,3681000,882000,2799000,685000,3617000,1711000,266000,1604000,2671000,4396000,902000,18206000
AL,GENEVA,061,01,2012,1625000,277000,4415000,3234000,18919000,1558000,6250000,11598000,142611000,70992000,7775000,4740000,4320000,1051000,3269000,961000,4533000,2517000,577000,2360000,5227000,5781000,1203000,17361000
AL,GREENE,063,01,2007,164000,75000,1035000,1115000,3648000,299000,165000,1911000,24314000,8405000,628000,1022000,2182000,287000,1895000,112000,2218000,715000,391000,657000,292000,2204000,392000,3349000
AL,GREENE,063,01,2012,242000,83000,1046000,1295000,1177000,199000,352000,1747000,19768000,8234000,425000,1169000,1101000,285000,816000,219000,1728000,1125000,235000,415000,354000,1578000,351000,978000
AL,HALE,065,01,2007,736000,142000,2606000,2448000,6562000,988000,708000,4194000,53126000,20407000,1433000,2680000,2063000,653000,1410000,1429000,5722000,3014000,564000,1043000,480000,4103000,564000,5573000
AL,HALE,065,01,2012,537000,158000,2653000,2010000,7135000,1607000,590000,3661000,51693000,22219000,900000,2211000,2303000,553000,1750000,542000,4996000,3632000,730000,1136000,427000,3221000,654000,5528000
AL,HENRY,067,01,2007,325000,168000,3434000,688000,2673000,236000,2379000,3859000,42334000,12198000,3324000,2791000,1790000,573000,1217000,254000,2718000,600000,174000,3623000,2304000,3095000,571000,2437000
AL,HENRY,067,01,2012,835000,246000,1887000,1472000,4274000,923000,5610000,4881000,62822000,19703000,6480000,3898000,2328000,738000,1590000,500000,3228000,1310000,310000,3238000,5020000,3486000,618000,3350000
AL,HOUSTON,069,01,2007,806000,NA,2868000,1071000,NA,NA,5770000,5389000,59771000,6363000,7492000,4426000,2515000,885000,1631000,803000,4131000,2098000,214000,3558000,4677000,5331000,629000,NA
AL,HOUSTON,069,01,2012,1305000,NA,3707000,1620000,NA,490000,8026000,7424000,81419000,6388000,12979000,4905000,4056000,1474000,2582000,1579000,4715000,2272000,1000000,5700000,7593000,5052000,807000,NA
AL,JACKSON,071,01,2007,657000,126000,6525000,2080000,15231000,1923000,1961000,6411000,90399000,37662000,5783000,4264000,3309000,667000,2642000,599000,2333000,870000,564000,2191000,2192000,4537000,947000,13308000
AL,JACKSON,071,01,2012,952000,107000,2604000,2212000,10605000,2951000,3115000,7986000,96495000,47453000,6731000,4414000,3391000,523000,2868000,1121000,2951000,1074000,891000,1563000,3692000,4497000,1089000,7654000
AL,JEFFERSON,073,01,2007,33000,44000,470000,504000,NA,163000,82000,1002000,19197000,NA,491000,909000,681000,166000,514000,266000,581000,NA,102000,117000,332000,866000,420000,NA
AL,JEFFERSON,073,01,2012,59000,29000,334000,377000,3152000,200000,198000,667000,11932000,3487000,490000,733000,519000,102000,417000,106000,1198000,208000,110000,111000,89000,624000,426000,2952000
AL,LAMAR,075,01,2007,30000,3000,369000,133000,465000,130000,109000,602000,6905000,2541000,565000,531000,484000,115000,369000,29000,228000,NA,113000,105000,184000,868000,261000,336000
AL,LAMAR,075,01,2012,55000,10000,418000,198000,596000,138000,132000,922000,8583000,3474000,600000,696000,236000,40000,196000,101000,678000,415000,NA,192000,175000,713000,310000,458000
AL,LAUDERDALE,077,01,2007,339000,139000,2737000,840000,4333000,1872000,2161000,5246000,44227000,10562000,6130000,2856000,2783000,629000,2154000,288000,2114000,762000,453000,2032000,2146000,3429000,1339000,2462000
AL,LAUDERDALE,077,01,2012,753000,493000,2304000,1429000,4954000,3109000,4494000,7346000,69820000,19476000,11323000,3800000,3410000,700000,2710000,614000,2996000,1099000,836000,3295000,4825000,4282000,1372000,1845000
AL,LAWRENCE,079,01,2007,684000,1314000,10876000,2898000,25346000,1511000,3572000,7468000,131863000,56053000,6199000,4450000,4104000,959000,3145000,210000,3287000,1548000,322000,3003000,3949000,4757000,1160000,23835000
AL,LAWRENCE,079,01,2012,1589000,2614000,5645000,6095000,17885000,1928000,8222000,10062000,173798000,75783000,12367000,7417000,4682000,1501000,3180000,773000,5534000,2756000,997000,7454000,8634000,7595000,1509000,15956000
AL,LEE,081,01,2007,38000,NA,2654000,1215000,516000,211000,1307000,3941000,31159000,1468000,2778000,1745000,912000,137000,775000,75000,192000,NA,119000,167000,NA,4941000,532000,304000
AL,LEE,081,01,2012,99000,NA,2564000,1496000,NA,NA,1738000,4226000,25729000,1863000,3152000,1791000,899000,75000,824000,409000,1743000,609000,118000,401000,3201000,5077000,446000,168000
AL,LIMESTONE,083,01,2007,594000,852000,5000000,1390000,6333000,954000,4713000,6731000,74038000,15560000,10246000,4695000,2610000,919000,1690000,314000,6712000,3318000,364000,3469000,6055000,4422000,1073000,5379000
AL,LIMESTONE,083,01,2012,1965000,1069000,3967000,2434000,5703000,1767000,9859000,8564000,103734000,24193000,15308000,5781000,3100000,746000,2354000,488000,6033000,2248000,559000,7033000,10282000,5482000,1037000,3936000
AL,LOWNDES,085,01,2007,579000,76000,4006000,849000,12745000,521000,660000,3258000,51164000,19942000,1607000,2021000,2088000,727000,1361000,187000,1865000,907000,132000,1312000,632000,1941000,655000,12224000
AL,LOWNDES,085,01,2012,1515000,47000,2433000,1290000,13738000,769000,1538000,3729000,67024000,29304000,1936000,3226000,1800000,471000,1329000,461000,3821000,1250000,262000,1844000,1187000,2123000,761000,12969000
AL,MACON,087,01,2007,127000,19000,1143000,545000,324000,126000,962000,1915000,15620000,NA,1834000,1146000,1041000,203000,837000,304000,3355000,1680000,124000,453000,NA,1497000,445000,198000
AL,MACON,087,01,2012,290000,76000,751000,666000,258000,165000,1091000,1887000,18907000,1389000,2105000,1481000,1008000,171000,838000,430000,4476000,2379000,403000,1331000,1235000,1791000,527000,93000
AL,MADISON,089,01,2007,464000,488000,2855000,793000,1354000,795000,4286000,5031000,44631000,3909000,7557000,3532000,2754000,772000,1983000,444000,3965000,1888000,320000,2589000,3805000,4723000,1113000,559000
AL,MADISON,089,01,2012,1002000,1056000,4537000,992000,1266000,633000,7918000,7602000,67069000,6585000,13260000,4606000,2676000,779000,1897000,654000,4753000,1689000,680000,4643000,7246000,4830000,1048000,632000
AL,MARENGO,091,01,2007,434000,46000,529000,399000,NA,NA,621000,2040000,16549000,4084000,1221000,1314000,1409000,434000,975000,120000,NA,332000,296000,753000,310000,1993000,518000,569000
AL,MARENGO,091,01,2012,174000,47000,776000,494000,1551000,946000,319000,1855000,20348000,5617000,1369000,1614000,1929000,346000,1583000,104000,1815000,390000,300000,1366000,732000,1892000,549000,605000
AL,MARION,093,01,2007,132000,14000,5285000,1022000,8402000,897000,317000,3026000,58875000,33984000,1274000,2030000,1954000,328000,1626000,182000,797000,369000,329000,276000,395000,2344000,467000,7505000
AL,MARION,093,01,2012,936000,31000,1555000,2198000,11637000,750000,463000,2720000,83621000,55893000,1137000,2001000,2525000,227000,2298000,427000,976000,214000,428000,602000,461000,2211000,568000,10887000
AL,MARSHALL,095,01,2007,509000,650000,16623000,5455000,53075000,1343000,1114000,9363000,203489000,94708000,3068000,6719000,5089000,698000,4391000,852000,5659000,2904000,594000,1394000,1045000,6196000,1332000,51733000
AL,MARSHALL,095,01,2012,2788000,110000,3791000,6121000,54666000,2561000,1366000,10006000,215491000,113576000,2967000,5293000,5883000,665000,5217000,791000,6581000,4147000,931000,2688000,1071000,6174000,1626000,52104000
AL,MOBILE,097,01,2007,434000,669000,4686000,1781000,921000,295000,3034000,5604000,66035000,2890000,7008000,3081000,2424000,788000,1636000,2681000,19757000,5056000,214000,1852000,8254000,5417000,1146000,626000
AL,MOBILE,097,01,2012,1058000,950000,2796000,1605000,760000,347000,7963000,5880000,61452000,4519000,7081000,3037000,2512000,546000,1966000,1259000,15677000,6732000,422000,1420000,5255000,4457000,1102000,413000
AL,MONROE,099,01,2007,337000,NA,1311000,361000,966000,188000,2331000,1768000,22145000,4371000,3122000,1639000,1099000,526000,573000,129000,NA,363000,275000,1291000,1825000,1796000,459000,778000
AL,MONROE,099,01,2012,915000,186000,1294000,602000,1660000,262000,6494000,3915000,39069000,7262000,4969000,2594000,1462000,424000,1038000,323000,1444000,683000,342000,2475000,4026000,2759000,604000,1397000
AL,MONTGOMERY,101,01,2007,312000,129000,3307000,996000,6730000,688000,466000,3646000,38581000,10255000,1838000,2243000,1969000,847000,1122000,282000,5383000,4271000,240000,813000,479000,2486000,894000,6042000
AL,MONTGOMERY,101,01,2012,958000,136000,2997000,1207000,20663000,740000,888000,3151000,71292000,25039000,1889000,2526000,2425000,796000,1629000,660000,5215000,2664000,803000,1744000,1834000,2354000,757000,19923000
AL,MORGAN,103,01,2007,577000,88000,7619000,2121000,16597000,817000,855000,5253000,87725000,38803000,3196000,3291000,2932000,493000,2439000,379000,3041000,1545000,311000,849000,980000,5394000,1003000,15780000
AL,MORGAN,103,01,2012,896000,61000,2988000,2782000,14941000,1094000,1526000,5810000,95475000,48122000,4046000,3443000,3010000,373000,2637000,671000,4189000,1759000,583000,1766000,2061000,3929000,1045000,13847000
AL,PERRY,105,01,2007,296000,57000,1106000,806000,1932000,659000,407000,1871000,18452000,4970000,1076000,1208000,1459000,301000,1159000,406000,1896000,1032000,134000,572000,388000,1306000,567000,1272000
AL,PERRY,105,01,2012,268000,121000,2003000,920000,1182000,447000,1202000,2638000,29131000,9874000,1953000,1898000,1633000,360000,1273000,458000,2550000,1105000,195000,1094000,1545000,1843000,587000,735000
AL,PICKENS,107,01,2007,172000,182000,6457000,1947000,29037000,805000,350000,4058000,94516000,44839000,843000,2207000,1836000,317000,1519000,289000,2547000,1612000,317000,715000,278000,2264000,553000,28231000
AL,PICKENS,107,01,2012,812000,23000,1512000,2475000,24797000,1329000,706000,3603000,97833000,54639000,1511000,2602000,1588000,200000,1388000,390000,2671000,1376000,391000,429000,552000,2640000,484000,23469000
AL,PIKE,109,01,2007,390000,152000,7760000,2247000,23610000,792000,999000,4361000,96124000,42773000,2440000,3328000,2844000,478000,2366000,749000,2820000,1498000,601000,1176000,843000,3340000,652000,22818000
AL,PIKE,109,01,2012,1004000,514000,1774000,2362000,24366000,2145000,1003000,5433000,108050000,57637000,2535000,2832000,2943000,437000,2506000,993000,3892000,2900000,561000,1290000,1040000,3155000,711000,22221000
AL,RANDOLPH,111,01,2007,135000,19000,5364000,1412000,12197000,3064000,245000,4082000,64481000,34724000,1425000,1955000,2837000,500000,2337000,226000,825000,173000,454000,481000,164000,1838000,634000,9133000
